Date,Day,Agent ID,Language,ACD Calls in 10 Sec,ACD Calls in 20 Sec,ABAN Calls in 10 Sec,Call Offered,ACD Calls,ABAN Calls,ACD Time,ACW Time,Hold Time,Held Calls,Company,Service Level %,Service Level Status,Avg Hold Time,Hold Time Status,Avg Handle Time,AHT Status
2023-07-01,Saturday,AGT_046,Hindi,355,595,0,748,748,0,125473,25094,16729,235,Digitech,79.54545454545455,Penalty,22.364973262032084,Penalty,223.6577540106952,Good
2023-07-01,Saturday,AGT_046,Bengali,64,92,14,125,99,26,18596,3719,2479,19,Digitech,82.88288288288288,Penalty,25.04040404040404,Penalty,250.44444444444446,Penalty
2023-07-01,Saturday,AGT_046,Marathi,88,132,22,183,141,42,23753,4750,3167,16,Digitech,81.98757763975155,Penalty,22.46099290780142,Penalty,224.60992907801418,Good
2023-07-01,Saturday,AGT_046,Telugu,97,111,13,154,125,29,23597,4719,3146,34,Digitech,78.72340425531915,Penalty,25.168,Penalty,251.696,Penalty
2023-07-01,Saturday,AGT_046,Tamil,58,75,13,116,97,19,16168,3233,2155,19,Digitech,72.81553398058253,Penalty,22.216494845360824,Penalty,222.22680412371133,Good
2023-07-01,Saturday,AGT_046,Gujarati,23,43,11,67,52,15,9155,1831,1220,16,Digitech,76.78571428571429,Penalty,23.46153846153846,Penalty,234.73076923076923,Good
2023-07-01,Saturday,AGT_046,Urdu,52,92,9,131,118,13,18238,3647,2431,38,Digitech,75.40983606557377,Penalty,20.60169491525424,Penalty,206.0677966101695,Good
2023-07-01,Saturday,AGT_046,Kannada,29,34,4,46,40,6,6324,1264,843,6,Digitech,80.95238095238095,Penalty,21.075,Penalty,210.775,Good
2023-07-01,Saturday,AGT_046,Odia,22,44,4,59,50,9,9056,1811,1207,6,Digitech,80.0,Penalty,24.14,Penalty,241.48,Penalty
2023-07-01,Saturday,AGT_046,Malayalam,42,64,8,77,66,11,11778,2355,1570,14,Digitech,92.7536231884058,Good,23.78787878787879,Penalty,237.92424242424244,Good
2023-07-01,Saturday,AGT_046,Punjabi,29,33,4,47,40,7,6303,1260,840,15,Digitech,76.74418604651163,Penalty,21.0,Penalty,210.075,Good
2023-07-01,Saturday,AGT_046,Assamese,85,131,42,214,131,83,23442,4688,3125,20,Digitech,76.16279069767442,Penalty,23.85496183206107,Penalty,238.58778625954199,Good
2023-07-01,Saturday,AGT_035,Hindi,504,783,64,1034,940,94,162558,32511,21674,323,Digitech,80.72164948453609,Penalty,23.057446808510637,Penalty,230.57765957446807,Good
2023-07-01,Saturday,AGT_035,Bengali,94,155,31,204,162,42,29902,5980,3986,48,Digitech,89.59537572254335,Good,24.604938271604937,Penalty,246.09876543209876,Penalty
2023-07-01,Saturday,AGT_035,Marathi,117,143,3,163,156,7,30683,6136,4091,39,Digitech,89.375,Good,26.224358974358974,Penalty,262.2435897435897,Penalty
2023-07-01,Saturday,AGT_035,Telugu,69,109,20,140,111,29,17857,3571,2381,32,Digitech,90.83333333333333,Good,21.45045045045045,Penalty,214.4954954954955,Good
2023-07-01,Saturday,AGT_035,Tamil,73,100,6,130,116,14,21941,4388,2925,12,Digitech,80.64516129032258,Penalty,25.21551724137931,Penalty,252.18965517241378,Penalty
2023-07-01,Saturday,AGT_035,Gujarati,50,85,26,125,85,40,14983,2996,1997,29,Digitech,85.85858585858585,Good,23.49411764705882,Penalty,235.01176470588234,Good
